pname,purl
librtpi,pkg:generic/librtpi@1.0.1
jsoncons,pkg:generic/jsoncons@1.3.0
snowhouse,pkg:generic/snowhouse@5.0.0
libaec,pkg:generic/libaec@1.1.3
libxaw,pkg:generic/libxaw@1.0.13
lcm,pkg:generic/lcm@1.4.0
moos-core,pkg:generic/moos-core@10.4.0
quazip,pkg:generic/quazip@1.4
rttr,pkg:generic/rttr@0.9.6+20210811
miniaudio,pkg:generic/miniaudio@0.11.22
libjuice,pkg:generic/libjuice@1.5.8
yajl,pkg:generic/yajl@2.1.0
pthread-stubs,pkg:generic/pthread-stubs@0.4
liblo,pkg:generic/liblo@0.32
libspng,pkg:generic/libspng@0.7.4
blpapi,pkg:generic/blpapi@3.25.1
liblemon,pkg:generic/liblemon
qttranslations,pkg:generic/qttranslations@6.8.2
string-theory,pkg:generic/string-theory@3.8
tinycbor,pkg:generic/tinycbor
nanogui,pkg:generic/nanogui
3fd,pkg:generic/3fd@2.6.3
ngtcp2,pkg:generic/ngtcp2@1.11.0
duilib,pkg:generic/duilib
gegl,pkg:generic/gegl@0.4.54
azure-core-tracing-opentelemetry-cpp,pkg:generic/azure-core-tracing-opentelemetry-cpp
pravila00-enumflag,pkg:generic/pravila00-enumflag
directxmesh,pkg:generic/directxmesh
libxmlpp,pkg:generic/libxmlpp@5.4.0
tuplet,pkg:generic/tuplet@2.1.1
cgicc,pkg:generic/cgicc@3.2.20
webthing-cpp,pkg:generic/webthing-cpp@1.2.0
zydis,pkg:generic/zydis
eabase,pkg:generic/eabase
opentracing,pkg:generic/opentracing@1.6.0
sfsexp,pkg:generic/sfsexp@1.4.1
cpprealm,pkg:generic/cpprealm@2.2.0
caf,pkg:generic/caf@1.0.2
azure-messaging-eventhubs-checkpointstore-blob-cpp,pkg:generic/azure-messaging-eventhubs-checkpointstore-blob-cpp
boost-stacktrace,pkg:generic/boost-stacktrace@1.87.0
egl-registry,pkg:generic/egl-registry
bigint,pkg:generic/bigint
variant-lite,pkg:generic/variant-lite@2.0.0
dv-processing,pkg:generic/dv-processing@1.7.9
qt5-winextras,pkg:generic/qt5-winextras@5.15.16
jack2,pkg:generic/jack2
xcb-proto,pkg:generic/xcb-proto@1.14.1
p-ranav-csv,pkg:generic/p-ranav-csv
status-code,pkg:generic/status-code
libfreenect2,pkg:generic/libfreenect2@0.2.1
qt5-3d,pkg:generic/qt5-3d@5.15.16
armadillo,pkg:generic/armadillo@14.2.2
spirv-reflect,pkg:generic/spirv-reflect@1.4.304.1
sord,pkg:generic/sord@0.16.18
wangle,pkg:generic/wangle
scenepic,pkg:generic/scenepic@1.1.1
ableton,pkg:generic/ableton@3.0.6
vulkan-sdk-components,pkg:generic/vulkan-sdk-components@1.4.304.1
portaudio,pkg:generic/portaudio@19.7
cryptopp,pkg:generic/cryptopp@8.9.0
gz-math7,pkg:generic/gz-math7@7.3.0
libgpiod,pkg:generic/libgpiod@2.1.3
ponder,pkg:generic/ponder@3.0.0
libcsv,pkg:generic/libcsv@3.0.3
nanoarrow,pkg:generic/nanoarrow@0.6.0
function2,pkg:generic/function2
boost-iterator,pkg:generic/boost-iterator@1.87.0
boinc,pkg:generic/boinc@8.0.4
libcds,pkg:generic/libcds@2.3.3
matroska,pkg:generic/matroska@1.7.1
boost-vmd,pkg:generic/boost-vmd@1.87.0
xnnpack,pkg:generic/xnnpack
rhash,pkg:generic/rhash@1.4.5
libunifex,pkg:generic/libunifex@0.4.0
cairomm,pkg:generic/cairomm@1.18.0
nanovg,pkg:generic/nanovg
ruapu,pkg:generic/ruapu@0.1.0
argtable3,pkg:generic/argtable3
glad,pkg:generic/glad@0.1.36
qoi,pkg:generic/qoi
muparser,pkg:generic/muparser@2.3.5
kdalgorithms,pkg:generic/kdalgorithms@1.4
kcp,pkg:generic/kcp@1.7
skia,pkg:generic/skia@134
libstk,pkg:generic/libstk@4.6.1
luabridge,pkg:generic/luabridge@2.8
minc,pkg:generic/minc
ztd-encoding-tables,pkg:generic/ztd-encoding-tables
cctag,pkg:generic/cctag
nnpack,pkg:generic/nnpack
numcpp,pkg:generic/numcpp@2.14.0
mlpack,pkg:generic/mlpack@4.5.1
asynch,pkg:generic/asynch
oatpp-swagger,pkg:generic/oatpp-swagger@1.3.0
ppmagic,pkg:generic/ppmagic
boost-graph-parallel,pkg:generic/boost-graph-parallel@1.87.0
orocos-kdl,pkg:generic/orocos-kdl@1.5.1
edflib,pkg:generic/edflib@1.27
basisu,pkg:generic/basisu@1.50.0
ndis-driver-library,pkg:generic/ndis-driver-library@1.2.0
boost-predef,pkg:generic/boost-predef@1.87.0
minhook,pkg:generic/minhook@1.3.3
boost-describe,pkg:generic/boost-describe@1.87.0
libnoise,pkg:generic/libnoise@1.0.0
libsmb2,pkg:generic/libsmb2@6.2
cspice,pkg:generic/cspice@67
pcg,pkg:generic/pcg
libadlmidi,pkg:generic/libadlmidi@1.5.1
kf5service,pkg:generic/kf5service@5.98.0
libxdmcp,pkg:generic/libxdmcp@1.1.3
yomm2,pkg:generic/yomm2@1.6.0
vsgxchange,pkg:generic/vsgxchange@1.1.4
hikogui,pkg:generic/hikogui@0.8.1
foxi,pkg:generic/foxi
ace,pkg:generic/ace@8.0.2
xcb,pkg:generic/xcb@1.14
